1	щас	сейчас	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1885.5121885.737
2	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@oc1983f-words#@oc1983f#1885.7371885.962
3	начнут	начать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1885.9621886.187
4	спрашивать	спрашивать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1886.1871886.412
5	/	/	PUNCT	_	_	_	_	_	@oc1983f-words#@oc1983f#1886.4121886.637
6	когда	когда	SCONJ	_	_	_	_	_	@oc1983f-words#@oc1983f#1886.6371886.862
7	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@oc1983f-words#@oc1983f#1886.8621887.087
8	будешь	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1887.0871887.312
9	рожать	рожать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1887.3121887.537
10	/	/	PUNCT	_	_	_	_	_	@oc1983f-words#@oc1983f#1887.7621887.987
11	уже	уже	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1887.9871888.212
12	наверно	наверно	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1888.2121888.437
13	спрашивают	спрашивать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1888.4371888.672
14	#смеется#	#смеется#	X	_	_	_	_	_	@oc1983f-words#@oc1983f#1889.0771889.668
15	#смеется#	#смеется#	X	_	_	_	_	_	@oc1983f-words#@oc1983f#1891.3091892.558
16	#смеется#	#смеется#	X	_	_	_	_	_	@oc1983f-words#@oc1983f#1893.01893.569
17	#хмыкает#	#хмыкает#	X	_	_	_	_	_	@oc1983f-words#@oc1983f#1894.8831895.215
18	поздно	поздно	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1901.1931901.471
19	/	/	PUNCT	_	_	_	_	_	@oc1983f-words#@oc1983f#1901.4711901.749
20	да	да	PART	_	_	_	_	_	@oc1983f-words#@oc1983f#1901.7491902.027
21	а	а	CCONJ	_	_	_	_	_	@oc1983f-words#@oc1983f#1910.1611910.381
22	как	как	ADV	_	Degree=Pos	_	_	_	@oc1983f-words#@oc1983f#1910.3811910.601
23	не	не	PART	_	_	_	_	_	@oc1983f-words#@oc1983f#1910.6011910.821
24	озлобиться	озлобиться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	_	_	_	@oc1983f-words#@oc1983f#1910.8211911.041
25	/	/	PUNCT	_	_	_	_	_	@oc1983f-words#@oc1983f#1911.0411911.261
26	скажи	сказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@oc1983f-words#@oc1983f#1911.2611911.481
27	/	/	PUNCT	_	_	_	_	_	@oc1983f-words#@oc1983f#1911.4811911.701
28	когда	когда	SCONJ	_	_	_	_	_	@oc1983f-words#@oc1983f#1911.7011911.921
29	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@oc1983f-words#@oc1983f#1911.9211912.141
30	в	в	ADP	_	_	_	_	_	@oc1983f-words#@oc1983f#1912.1411912.361
31	центре	центр	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@oc1983f-words#@oc1983f#1912.3611912.581
32	внимания	внимание	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@oc1983f-words#@oc1983f#1912.5811912.801
33	находишься	находиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@oc1983f-words#@oc1983f#1912.8011913.021
