1	вот	вот	PART	_	_	_	_	_	@yad1986-word#@yad1986#848.04#848.243
2	как	как	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#848.04#848.243
3	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@yad1986-word#@yad1986#848.243#848.446
4	считаете	считать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986-word#@yad1986#848.446#848.65
5	людям	человек	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#849.005#849.282
6	которые	который	SCONJ	_	_	_	_	_	@yad1986-word#@yad1986#849.282#849.559
7	живут	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986-word#@yad1986#849.559#849.836
8	в	в	ADP	_	_	_	_	_	@yad1986-word#@yad1986#849.836#850.113
9	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#850.113#850.39
10	к	к	INTJ	_	_	_	_	_	@yad1986-word#@yad1986#851.31#851.42
11	как	как	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#851.78#851.94
12	куда	куда	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#852.135#852.388
13	лучше	хорошо	ADJ	_	Degree=Cmp	_	_	_	@yad1986-word#@yad1986#852.388#852.641
14	отправлять	отправлять	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#852.641#852.894
15	детей	ребенок	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#852.894#853.147
16	?	?	PUNCT	_	_	_	_	_	@yad1986-word#@yad1986#853.147#853.4
17	ну	ну	PART	_	_	_	_	_	@yad1986-word#@yad1986#871.385#871.713
18	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#871.713#872.041
19	все	весь	DET	_	Case=Acc|Number=Plur	_	_	_	@yad1986-word#@yad1986#872.041#872.369
20	принципы	принцип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#872.369#872.697
21	жизни	жизнь	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#872.697#873.025
22	богатых	богатый	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@yad1986-word#@yad1986#873.025#873.353
23	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@yad1986-word#@yad1986#873.353#873.681
24	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@yad1986-word#@yad1986#873.681#874.009
25	близки	близкий	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	_	_	_	@yad1986-word#@yad1986#874.009#874.345
26	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#874.91#875.152
27	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#875.152#875.394
28	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#875.394#875.636
29	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@yad1986-word#@yad1986#875.636#875.878
30	серьезно	серьезно	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#875.878#876.12
31	нет	нет	PRED	_	_	_	_	_	@yad1986-word#@yad1986#876.12#876.362
32	нуу	ну	PART	_	_	_	_	_	@yad1986-word#@yad1986#876.362#876.604
33	грубо	грубо	ADV	_	Degree=Pos	_	_	_	@yad1986-word#@yad1986#876.604#876.846
34	говоря	говорить	VERB	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	_	_	_	@yad1986-word#@yad1986#876.846#877.088
35	жить	жить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#877.088#877.33
36	и	и	CCONJ	_	_	_	_	_	@yad1986-word#@yad1986#877.33#877.572
37	делать	делать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#877.572#877.814
38	бизнес	бизнес	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@yad1986-word#@yad1986#877.814#878.056
39	в	в	ADP	_	_	_	_	_	@yad1986-word#@yad1986#878.056#878.298
40	России	Россия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#878.298#878.54
41	аэээээ	эээ	INTJ	_	_	_	_	_	@yad1986-word#@yad1986#878.8#879.58
42	вся	весь	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#879.695#879.953
43	твоя	твой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#879.953#880.211
44	семья	семья	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#880.211#880.469
45	живет	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@yad1986-word#@yad1986#880.469#880.727
46	на	на	ADP	_	_	_	_	_	@yad1986-word#@yad1986#880.727#880.985
47	Лазурке	Лазурка	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#880.985#881.245
48	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986-word#@yad1986#881.585#881.839
49	не	не	PART	_	_	_	_	_	@yad1986-word#@yad1986#881.839#882.093
50	близкая	близкий	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#882.093#882.347
51	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	@yad1986-word#@yad1986#882.347#882.601
52	история	история	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#882.601#882.855
53	даже	даже	PART	_	_	_	_	_	@yad1986-word#@yad1986#882.855#883.109
54	если	если	SCONJ	_	_	_	_	_	@yad1986-word#@yad1986#883.109#883.363
55	представить	представить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#883.363#883.617
56	что	что	SCONJ	_	_	_	_	_	@yad1986-word#@yad1986#883.617#883.871
57	можно	можно	PRED	_	_	_	_	_	@yad1986-word#@yad1986#883.871#884.125
58	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@yad1986-word#@yad1986#884.125#884.379
59	позволить	позволить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@yad1986-word#@yad1986#884.379#884.635
60	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986-word#@yad1986#895.585#895.788
61	правда	правда	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@yad1986-word#@yad1986#895.788#895.991
62	да	да	PART	_	_	_	_	_	@yad1986-word#@yad1986#895.991#896.195
63	а	а	CCONJ	_	_	_	_	_	@yad1986-word#@yad1986#915.615#915.779
64	какой	какой	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yad1986-word#@yad1986#915.779#915.943
65	порядок	порядок	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@yad1986-word#@yad1986#915.943#916.107
66	цен	цена	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@yad1986-word#@yad1986#916.107#916.271
67	?	?	PUNCT	_	_	_	_	_	@yad1986-word#@yad1986#916.271#916.435
68	и	и	CCONJ	_	_	_	_	_	@yad1986-word#@yad1986#927.285#927.614
69	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@yad1986-word#@yad1986#927.614#927.943
70	эээ	эээ	PART	_	_	_	_	_	@yad1986-word#@yad1986#927.943#928.272
71	уровня	уровень	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@yad1986-word#@yad1986#928.272#928.601
72	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@yad1986-word#@yad1986#928.601#928.93
73	что	что	SCONJ	_	_	_	_	_	@yad1986-word#@yad1986#928.93#929.259
74	находится	находиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@yad1986-word#@yad1986#929.259#929.588
75	в	в	ADP	_	_	_	_	_	@yad1986-word#@yad1986#929.588#929.917
